OldName,NewName
Add-DotNet,Add-WWDotNet
Backup-WIMWitch,Backup-WimWitch
Build-WindowsISO,Build-WWWindowsISO
Build-WWCMImagePackage,Build-WWConfigManagerImagePackage
Clear-OSIndex,Clear-WWOSIndex
Clear-WWMISCheckBox,Clear-WWMISCheckBox
Compare-OSDBuilderVer,Compare-WWOSDBuilderVersion
Compare-OSDSUSVer,Compare-WWOSDSUSVersion
Copy-OneDrive,Copy-WWOneDrive
Copy-OneDrivex64,Copy-WWOneDriveX64
Copy-StageIsoMedia,Copy-WWStageISOMedia
Copy-UpgradePackage,Copy-WWUpgradePackage
Deploy-LCU,Deploy-WWLatestCumulativeUpdate
Deploy-Update,Deploy-WWUpdate
Enable-ConfigMgrOption,Enable-WWConfigManagerOption
Find-ConfigManager,Find-WWConfigManager
Get-Configuration,Get-WWConfiguration
Get-FormVariable,Get-WWFormVariable
Get-ImageInfo,Get-WWImageInformation
Get-OneDrive,Get-WWOneDrive
Get-OSDBCurrentVer,Get-WWOSDeploymentCurrentVersion
Get-OSDBInstallation,Get-WWOSDeploymentInstallation
Get-OSDSUSCurrentVer,Get-WWOSDSUSCurrentVersion
Get-OSDSUSInstallation,Get-WWOSDSUSInstallation
Get-WindowsPatch,Get-WWWindowsPatch
Get-WindowsType,Get-WWWindowsType
Get-WinVersionNumber,Get-WWWindowsVersionNumber
Get-WWAutopilotProfile,Get-WWAutopilotProfile
Get-WWConfigMgrConnection,Get-WWConfigManagerConnection
Get-WWWindowsReleaseFromWim,Get-WWWindowsReleaseFromWIM
Import-CMModule,Import-WWConfigManagerModule
Import-FeatureOnDemand,Import-WWFeatureOnDemand
Import-ISO,Import-WWWindowsISO
Import-LanguagePack,Import-WWLanguagePack
Import-LocalExperiencePack,Import-WWLocalExperiencePack
Import-WimInfo,Import-WWWIMInformation
Initialize-WWEnvironment,Initialize-WimWitchEnvironment
Install-DefaultApplicationAssociation,Install-WWDefaultApplicationAssociation
Install-Driver,Install-WWDriver
Install-FeaturesOnDemand,Install-WWFeaturesOnDemand
Install-LanguagePack,Install-WWLanguagePack
Install-LocalExperiencePack,Install-WWLocalExperiencePack
Install-OSDB,Install-WWOSDeployment
Install-OSDSUS,Install-WWOSDServiceUpdateStack
Install-RegistryFile,Install-WWRegistryFile
Install-StartLayout,Install-WWStartLayout
Install-WimWitchUpgrade,Install-WimWitchUpgrade
Install-WWAutopilotModule,Install-WWAutopilotModule
Install-WWCMConsoleExtension,Install-WWConfigManagerConsoleExtension
Invoke-19041Select,Invoke-WW19041Select
Invoke-2XXXPreReq,Invoke-WW2XXXPreReq
Invoke-ArchitectureCheck,Invoke-WWArchitectureCheck
Invoke-BootWimUpdate,Invoke-WWBootWIMUpdate
Invoke-CheckboxCleanup,Invoke-WWCheckboxCleanup
Invoke-DadJoke,Invoke-WWDadJoke
Invoke-ImportVersionCB,Import-WWVersionCallback
Invoke-MakeItSo,Invoke-WWMakeItSo
Invoke-MEMCMUpdatecatalog,Invoke-WWConfigManagerUpdateCatalog
Invoke-MEMCMUpdateSupersedence,Invoke-WWConfigManagerUpdateSupersedence
Invoke-MISUpdate,Invoke-WWMISUpdate
Invoke-MSUpdateItemDownload,Download-WWMicrosoftUpdateItem
Invoke-OSDCheck,Invoke-WWOSDCheck
Invoke-ParseJSON,Convert-WWJSONToObject
Invoke-RemoveISOMount,Invoke-WWRemoveISOMount
Invoke-RunConfigFile,Execute-WWConfigFile
Invoke-TextNotification,Send-WWNotification
Invoke-UpdateTabOption,Update-WWTabOption
Invoke-WinReUpdate,Update-WWWindowsRe
Invoke-WWCMImagePropertyUpdate,Update-WWConfigManagerImageProperty
Invoke-WWCMImageUpdate,Update-WWConfigManagerImage
Invoke-WWDriverInjection,Add-WWDriver
Invoke-WWScript,Invoke-WWScript
Rename-Name,Rename-WWName
Save-Configuration,Save-WWSettings
Select-Appx,Select-WWAppx
Select-Config,Select-WWConfig
Select-DefaultApplicationAssociation,Select-WWDefaultApplicationAssociation
Select-DistributionPoint,Select-WWDistributionPoint
Select-DriverSource,Select-WWDriverSource
Select-FeaturesOnDemand,Select-WWFeaturesOnDemand
Select-ImportOtherPath,Select-WWImportPath
Select-ISO,Select-WWISO
Select-ISODirectory,Select-WWISODirectory
Select-JSONFile,Select-WWJSONFile
Select-LanguagePack,Select-WWLanguagePack
Select-LocalExperiencePack,Select-WWLocalExperiencePack
Select-LPFODRequirement,Select-WWLanguageFeature
Select-MountDir,Select-WWMountDirectory
Select-NewJSONDir,Select-WWNewJSONDirectory
Select-RegFile,Select-WWRegistryFile
Select-SourceWIM,Select-WWSourceWIM
Select-StartMenu,Select-WWStartMenu
Select-TargetDir,Select-WWTargetDirectory
Select-WorkingDirectory,Select-WWWorkingDirectory
Show-ClosingText,Write-WWClosingMessage
Show-OpeningText,Write-WWOpeningMessage
Suspend-MakeItSo,Suspend-WWMakeItSo
Sync-WindowsUpdateSource,Sync-WWWindowsUpdateSource
Test-Admin,Test-WWAdministrator
Test-DotNetExist,Test-WWDotNetExist
Test-IsoBinariesExist,Test-WWISOBinariesExist
Test-MountPath,Test-WWMountPath
Test-Name,Test-WWValidName
Test-Superceded,Test-WWSuperseded
Test-WorkingDirectory,Test-WWWorkingDirectory
Unregister-WWAppx,Remove-WWAppx
Write-WWLog,Write-WimWitchLog
