OldName,NewName
Add-WWDotNet,Add-WWDotNet
Add-WWDriver,Add-WWDriver
Backup-WimWitch,Backup-WimWitch
Build-WWConfigManagerImagePackage,Build-WWConfigManagerImagePackage
Build-WWWindowsISO,Build-WWWindowsISO
Clear-WWMISCheckBox,Clear-WWMISCheckBox
Clear-WWOSIndex,Clear-WWOSIndex
Compare-WWOSDBuilderVersion,Compare-WWOSDBuilderVersion
Compare-WWOSDSUSVersion,Compare-WWOSDSUSVersion
Convert-WWJSONToObject,Convert-WWJSONToObject
Copy-WWOneDrive,Copy-WWOneDrive
Copy-WWOneDrivex64,Copy-WWOneDrivex64
Copy-WWStageISOMedia,Copy-WWStageISOMedia
Copy-WWUpgradePackage,Copy-WWUpgradePackage
Deploy-WWLatestCumulativeUpdate,Deploy-WWLatestCumulativeUpdate
Deploy-WWUpdate,Deploy-WWUpdate
Download-WWMicrosoftUpdateItem,Get-WWMicrosoftUpdateItem
Enable-WWConfigManagerOption,Enable-WWConfigManagerOption
Execute-WWConfigFile,Invoke-WWConfigFile
Find-WWConfigManager,Find-WWConfigManager
Get-WWAutopilotProfile,Get-WWAutopilotProfile
Get-WWConfigManagerConnection,Get-WWConfigManagerConnection
Get-WWConfiguration,Get-WWConfiguration
Get-WWFormVariable,Get-WWFormVariable
Get-WWImageInformation,Get-WWImageInformation
Get-WWOneDrive,Get-WWOneDrive
Get-WWOSDeploymentCurrentVersion,Get-WWOSDeploymentCurrentVersion
Get-WWOSDeploymentInstallation,Get-WWOSDeploymentInstallation
Get-WWOSDSUSCurrentVersion,Get-WWOSDSUSCurrentVersion
Get-WWOSDSUSInstallation,Get-WWOSDSUSInstallation
Get-WWWindowsPatch,Get-WWWindowsPatch
Get-WWWindowsReleaseFromWIM,Get-WWWindowsReleaseFromWIM
Get-WWWindowsType,Get-WWWindowsType
Get-WWWindowsVersionNumber,Get-WWWindowsVersionNumber
Import-WWConfigManagerModule,Import-WWConfigManagerModule
Import-WWFeatureOnDemand,Import-WWFeatureOnDemand
Import-WWLanguagePack,Import-WWLanguagePack
Import-WWLocalExperiencePack,Import-WWLocalExperiencePack
Import-WWVersionCallback,Import-WWVersionCallback
Import-WWWIMInformation,Import-WWWIMInformation
Import-WWWindowsISO,Import-WWWindowsISO
Initialize-WimWitchEnvironment,Initialize-WimWitchEnvironment
Invoke-WimWitchUpgrade,Invoke-WimWitchUpgrade
Install-WWAutopilotModule,Install-WWAutopilotModule
Install-WWConfigManagerConsoleExtension,Install-WWConfigManagerConsoleExtension
Install-WWDefaultApplicationAssociation,Install-WWDefaultApplicationAssociation
Install-WWDriver,Install-WWDriver
Install-WWFeaturesOnDemand,Install-WWFeaturesOnDemand
Install-WWLanguagePack,Install-WWLanguagePack
Install-WWLocalExperiencePack,Install-WWLocalExperiencePack
Install-WWOSDeployment,Install-WWOSDeployment
Install-WWOSDServiceUpdateStack,Install-WWOSDServiceUpdateStack
Install-WWRegistryFile,Install-WWRegistryFile
Install-WWStartLayout,Install-WWStartLayout
Invoke-WW19041Select,Invoke-WW19041Select
Invoke-WW2XXXPreReq,Invoke-WW2XXXPreReq
Invoke-WWArchitectureCheck,Invoke-WWArchitectureCheck
Invoke-WWBootWIMUpdate,Invoke-WWBootWIMUpdate
Invoke-WWCheckboxCleanup,Invoke-WWCheckboxCleanup
Invoke-WWConfigManagerUpdateCatalog,Invoke-WWConfigManagerUpdateCatalog
Invoke-WWConfigManagerUpdateSupersedence,Invoke-WWConfigManagerUpdateSupersedence
Invoke-WWDadJoke,Invoke-WWDadJoke
Invoke-WWMakeItSo,Invoke-WWMakeItSo
