Old                                 | New
------------------------------------|--------------------------------
Add-DotNet                          | Add-WWNetFramework
Backup-WIMWitch                     | Backup-WWImage
Compare-OSDBuilderVer               | Compare-WWOSDBuilderVersion
Compare-OSDSUSVer                   | Compare-WWOSDSUSVersion
Copy-OneDrive                       | Copy-WWOneDrive
Copy-OneDrivex64                    | Copy-WWOneDrive64
Copy-StageIsoMedia                  | Copy-WWStagedISOMedia
Copy-UpgradePackage                 | Copy-WWUpgradePackage
Deploy-LCU                          | Deploy-WWLatestCU
Deploy-Update                       | Deploy-WWUpdate
Enable-ConfigMgrOption              | Enable-WWConfigMgrOption
Find-ConfigManager                  | Find-WWConfigMgr
Get-Configuration                    | Get-WWConfiguration
Get-FormVariable                    | Get-WWFormVariable
Get-ImageInfo                       | Get-WWImageInfo
Get-OneDrive                        | Get-WWOneDrive
Get-OSDBCurrentVer                  | Get-WWOSDBCurrentVersion
Get-OSDBInstallation                | Get-WWOSDBInstallation
Get-OSDSUSCurrentVer                | Get-WWOSDSUSCurrentVersion
Get-OSDSUSInstallation              | Get-WWOSDSUSInstallation
Get-WindowsPatch                    | Get-WWWindowsPatch
Get-WindowsType                     | Get-WWWindowsType
Get-WinVersionNumber                | Get-WWWindowsVersionNumber
Get-WWAutopilotProfile              | Get-WWAutopilotProfile
Import-CMModule                     | Import-WWConfigMgrModule
Import-FeatureOnDemand              | Import-WWFeatureOnDemand
Import-ISO                          | Import-WWISO
Import-LanguagePack                 | Import-WWLanguagePack
Import-LocalExperiencePack          | Import-WWLocalExperiencePack
Import-WimInfo                      | Import-WWWimInfo
Install-DefaultApplicationAssociation | Install-WWDefaultAppAssociation
Install-Driver                      | Install-WWDriver
Install-FeaturesOnDemand            | Install-WWFeaturesOnDemand
Install-LanguagePack                | Install-WWLanguagePack
Install-LocalExperiencePack         | Install-WWLocalExperiencePack
Install-RegistryFile                | Install-WWRegistryFile
Install-StartLayout                 | Install-WWStartLayout
Install-WimWitchUpgrade             | Install-WWUpgrade
Install-WWCMConsoleExtension        | Install-WWConfigMgrConsoleExtension
Invoke-19041Select                  | Invoke-WWSelect19041
Invoke-2XXXPreReq                   | Invoke-WW2XXXPreReq
Invoke-ArchitectureCheck            | Invoke-WWArchitectureCheck
Invoke-CheckboxCleanup              | Invoke-WWCheckboxCleanup
Invoke-DadJoke                      | Invoke-WWDadJoke
Invoke-MakeItSo                     | Invoke-WWMakeItSo
Invoke-MEMCMUpdatecatalog           | Invoke-WWUpdateMEMCMCatalog
Invoke-MEMCMUpdateSupersedence      | Invoke-WWUpdateMEMCMSupersedence
Invoke-MISUpdate                    | Invoke-WWMISUpdate
Invoke-MSUpdateItemDownload         | Invoke-WWDownloadMSUpdate
Invoke-OSDCheck                     | Invoke-WWOSDCheck
Invoke-ParseJSON                    | Invoke-WWParseJSON
Invoke-RemoveISOMount               | Invoke-WWUnmountISO
Invoke-RunConfigFile                | Invoke-WWRunConfigFile
Invoke-TextNotification             | Invoke-WWTextNotification
Invoke-UpdateTabOption              | Invoke-WWUpdateTabOption
New-CMImagePackage                  | New-WWCMImagePackage
New-WindowsISO                      | New-WWWindowsISO
Remove-Appx                         | Remove-WWAppx
Remove-OSIndex                      | Remove-WWOSIndex
Rename-Name                         | Rename-WWImage
Reset-MISCheckBox                   | Reset-WWMISCheckbox
Save-Configuration                  | Save-WWConfiguration
Select-Appx                         | Select-WWAppx
Select-Config                       | Select-WWConfiguration
Select-DefaultApplicationAssociation | Select-WWDefaultAppAssociation
Select-DistributionPoint            | Select-WWDistributionPoint
Select-DriverSource                 | Select-WWDriverSource
Select-FeaturesOnDemand             | Select-WWFeaturesOnDemand
Select-ImportOtherPath              | Select-WWImportOtherPath
Select-ISO                          | Select-WWISO
Select-ISODirectory                 | Select-WWISODirectory
Select-JSONFile                     | Select-WWJSONFile
Select-LanguagePack                 | Select-WWLanguagePack
Select-LocalExperiencePack          | Select-WWLocalExperiencePack
Select-LPFODRequirement             | Select-WWLPFODRequirement
Select-MountDir                     | Select-WWMountDirectory
Select-NewJSONDir                   | Select-WWNewJSONDirectory
Select-RegFile                      | Select-WWRegistryFile
Select-SourceWIM                    | Select-WWSourceWIM
Select-StartMenu                    | Select-WWStartMenu
Select-TargetDir                    | Select-WWTargetDirectory
Select-WorkingDirectory             | Select-WWWorkingDirectory
Set-ConfigMgr                       | Set-WWConfigMgr
Set-ImagePropertie                  | Set-WWImageProperties
Set-Logging                         | Set-WWLogging
Set-Version                         | Set-WWVersion
Show-ClosingText                    | Show-WWClosingText
Show-OpeningText                    | Show-WWOpeningText
Start-DriverInjection               | Start-WWDriverInjection
Start-Script                        | Start-WWScript
Start-WimWitch                      | Start-WimWitch
Suspend-MakeItSo                    | Suspend-WWMakeItSo
Test-Admin                          | Test-WWAdmin
Test-DotNetExist                    | Test-WWNetFrameworkExist
Test-IsoBinariesExist               | Test-WWISOBinariesExist
Test-MountPath                      | Test-WWMountPath
Test-Name                           | Test-WWImageName
Test-Superceded                     | Test-WWSuperseded
Test-WorkingDirectory               | Test-WWWorkingDirectory
Update-Autopilot                    | Update-WWAutopilot
Update-BootWIM                      | Update-WWBootWIM
Update-CMImage                      | Update-WWCMImage
Update-ImportVersionCB              | Update-WWImportVersionCB
Update-Log                          | Update-WWLog
Update-OSDB                         | Update-WWOSDB
Update-OSDSUS                       | Update-WWOSDSUS
Update-PatchSource                  | Update-WWPatchSource
Update-WinReWim                     | Update-WWWINREWIM
